item_key,regime,sap_fill_pct,governed_choice,governed_fill_pct,fill_gain_vs_sap_pct_pts,cost_delta_vs_sap
SYNTH_A__SYN-00027-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00028-ER,erratic,96.9834,sap,96.9834,0.0,0.0
SYNTH_A__SYN-00029-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00030-ER,erratic,95.7134,sap,95.7134,0.0,0.0
SYNTH_A__SYN-00031-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00032-IN,intermittent,70.6452,inventor,100.0,29.3548,2525.1267
SYNTH_A__SYN-00033-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00034-LU,lumpy,87.1059,sap,87.1059,0.0,0.0
SYNTH_A__SYN-00035-LU,lumpy,99.7797,sap,99.7797,0.0,0.0
SYNTH_A__SYN-00036-ER,erratic,97.6959,sap,97.6959,0.0,0.0
SYNTH_A__SYN-00037-LU,lumpy,82.3319,sap,82.3319,0.0,0.0
SYNTH_A__SYN-00038-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00039-ER,erratic,85.2085,inventor,100.0,14.7915,986.1219
SYNTH_A__SYN-00040-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00041-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00042-LU,lumpy,94.0255,sap,94.0255,0.0,0.0
SYNTH_B__SYN-00043-IN,intermittent,94.6159,sap,94.6159,0.0,0.0
SYNTH_B__SYN-00044-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00045-SM,smooth,98.5226,sap,98.5226,0.0,0.0
SYNTH_B__SYN-00046-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00047-LU,lumpy,95.8955,sap,95.8955,0.0,0.0
SYNTH_B__SYN-00048-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00049-SM,smooth,99.5667,sap,99.5667,0.0,0.0
SYNTH_B__SYN-00050-ER,erratic,94.4196,sap,94.4196,0.0,0.0
SYNTH_B__SYN-00051-LU,lumpy,92.3664,inventor,100.0,7.6336,411.0361
SYNTH_B__SYN-00052-LU,lumpy,88.8365,sap,88.8365,0.0,0.0
SYNTH_B__SYN-00053-LU,lumpy,84.6037,sap,84.6037,0.0,0.0
SYNTH_B__SYN-00054-IN,intermittent,85.7727,sap,85.7727,0.0,0.0
SYNTH_B__SYN-00055-SM,smooth,99.4286,sap,99.4286,0.0,0.0
SYNTH_B__SYN-00056-ER,erratic,89.9038,sap,89.9038,0.0,0.0
SYNTH_B__SYN-00057-SM,smooth,98.3226,sap,98.3226,0.0,0.0
SYNTH_B__SYN-00058-ER,erratic,98.9362,inventor,100.0,1.0638,8.8116
SYNTH_B__SYN-00059-ER,erratic,85.4097,sap,85.4097,0.0,0.0
SYNTH_B__SYN-00060-SM,smooth,98.6892,sap,98.6892,0.0,0.0
SYNTH_B__SYN-00061-IN,intermittent,90.2043,sap,90.2043,0.0,0.0
SYNTH_B__SYN-00062-ER,erratic,94.6121,sap,94.6121,0.0,0.0
SYNTH_B__SYN-00063-IN,intermittent,70.1598,inventor,100.0,29.8402,1218.2303
SYNTH_B__SYN-00064-ER,erratic,90.9944,sap,90.9944,0.0,0.0
SYNTH_B__SYN-00065-ER,erratic,92.625,sap,92.625,0.0,0.0
SYNTH_B__SYN-00066-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00067-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00068-LU,lumpy,98.5217,sap,98.5217,0.0,0.0
SYNTH_B__SYN-00069-LU,lumpy,92.0354,sap,92.0354,0.0,0.0
SYNTH_B__SYN-00070-LU,lumpy,93.1889,sap,93.1889,0.0,0.0
SYNTH_B__SYN-00071-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00072-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00073-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00074-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00075-LU,lumpy,87.7351,sap,87.7351,0.0,0.0
SYNTH_B__SYN-00076-SM,smooth,99.416,sap,99.416,0.0,0.0
SYNTH_B__SYN-00077-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_B__SYN-00078-LU,lumpy,90.7773,sap,90.7773,0.0,0.0
SYNTH_B__SYN-00079-IN,intermittent,62.6546,inventor,95.7131,33.0585,1861.2128
SYNTH_B__SYN-00080-LU,lumpy,79.1096,sap,79.1096,0.0,0.0
SYNTH_C__SYN-00081-LU,lumpy,87.6437,inventor,100.0,12.3563,578.2832
SYNTH_C__SYN-00082-ER,erratic,96.817,inventor,100.0,3.183,253.4115
SYNTH_C__SYN-00083-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00084-ER,erratic,95.8667,inventor,100.0,4.1333,267.1812
SYNTH_C__SYN-00085-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00086-LU,lumpy,93.6603,sap,93.6603,0.0,0.0
SYNTH_C__SYN-00087-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00088-SM,smooth,99.5668,sap,99.5668,0.0,0.0
SYNTH_C__SYN-00089-ER,erratic,96.6685,sap,96.6685,0.0,0.0
SYNTH_C__SYN-00090-LU,lumpy,87.5657,sap,87.5657,0.0,0.0
SYNTH_C__SYN-00091-SM,smooth,99.8968,sap,99.8968,0.0,0.0
SYNTH_C__SYN-00092-ER,erratic,95.2586,sap,95.2586,0.0,0.0
SYNTH_C__SYN-00093-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00094-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00095-LU,lumpy,96.4758,sap,96.4758,0.0,0.0
SYNTH_C__SYN-00096-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00097-ER,erratic,93.5008,sap,93.5008,0.0,0.0
SYNTH_C__SYN-00098-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00099-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00100-LU,lumpy,88.2246,sap,88.2246,0.0,0.0
SYNTH_C__SYN-00101-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00102-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00103-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00104-ER,erratic,98.5271,sap,98.5271,0.0,0.0
SYNTH_C__SYN-00105-SM,smooth,99.9707,sap,99.9707,0.0,0.0
SYNTH_C__SYN-00106-SM,smooth,99.0476,sap,99.0476,0.0,0.0
SYNTH_C__SYN-00107-ER,erratic,97.0736,sap,97.0736,0.0,0.0
SYNTH_C__SYN-00108-ER,erratic,92.7336,sap,92.7336,0.0,0.0
SYNTH_C__SYN-00109-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00110-ER,erratic,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00111-ER,erratic,92.5791,sap,92.5791,0.0,0.0
SYNTH_C__SYN-00112-LU,lumpy,72.3854,sap,72.3854,0.0,0.0
SYNTH_C__SYN-00113-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00114-ER,erratic,95.5929,sap,95.5929,0.0,0.0
SYNTH_C__SYN-00115-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_C__SYN-00116-IN,intermittent,75.718,sap,75.718,0.0,0.0
SYNTH_C__SYN-00117-ER,erratic,93.0512,sap,93.0512,0.0,0.0
SYNTH_C__SYN-00118-LU,lumpy,90.184,sap,90.184,0.0,0.0
SYNTH_C__SYN-00119-LU,lumpy,93.2039,sap,93.2039,0.0,0.0
SYNTH_C__SYN-00120-SM,smooth,100.0,sap,100.0,0.0,0.0
